,date,volume,open,high,low,close,label,MA-5,MA-10,MA-20,MA-60,RSI-14,MACD,MACD_signal,MACD_hist,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,buy,sell,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,MarginShortSalesPreviousDayBalance,MarginShortSalesShortSales,MarginShortSalesShortCovering,MarginShortSalesStockRedemption,MarginShortSalesCurrentDayBalance,MarginShortSalesQuota,SBLShortSalesPreviousDayBalance,SBLShortSalesShortSales,SBLShortSalesReturns,SBLShortSalesAdjustments,SBLShortSalesCurrentDayBalance,SBLShortSalesQuota,SBLShortSalesShortCovering
0,2012-12-03,44060536,98.3,98.6,96.8,97.9,2.0,,,,,,,,,2961,0,6480690,1241,15254,13534, ,953,381,0,6480690,172,8392,8601,31448286,34596279,TW0002330008,5781930874,20138778485,22.3,77.69,100.0,100.0,25920709359,2012-05-18,8601000.0,172000.0,381000.0,0.0,8392000.0,-2109244048.0,36615444.0,782000.0,0.0,320000.0,37717444.0,7573226.0,0.0
1,2012-12-04,43075268,96.9,97.2,95.3,96.6,0.0,,,,,,,,,3382,2,6480690,2022,16612,15254, ,1185,828,1,6480690,216,7779,8392,21721076,35601982,TW0002330008,5797412780,20123296579,22.36,77.63,100.0,100.0,25920709359,2012-05-18,8392000.0,216000.0,828000.0,1000.0,7779000.0,-2109244048.0,37717444.0,856000.0,0.0,500000.0,39073444.0,7752443.0,0.0
2,2012-12-05,60542922,94.6,97.1,94.6,96.9,2.0,,,,,,,,,2392,0,6480690,2352,16652,16612, ,4235,347,2,6480690,432,7862,7779,38537440,42388475,TW0002330008,5801543815,20119165544,22.38,77.61,100.0,100.0,25920709359,2012-05-18,7779000.0,432000.0,347000.0,2000.0,7862000.0,-2109244048.0,39073444.0,4613000.0,702000.0,2500000.0,45484444.0,7954673.0,0.0
3,2012-12-06,33501484,96.6,96.9,96.1,96.6,1.0,,,,,,,,,1526,53,6480690,1510,16615,16652, ,710,123,2,6480690,132,7869,7862,27568089,25196068,TW0002330008,5800491794,20120217565,22.37,77.62,100.0,100.0,25920709359,2012-05-18,7862000.0,132000.0,123000.0,2000.0,7869000.0,-2109244048.0,45484444.0,1638000.0,27000.0,600000.0,47695444.0,7915223.0,0.0
4,2012-12-07,37114121,97.1,98.5,97.1,98.1,2.0,0.00905163546595346,,,,,,,,1560,16,6480690,3080,15079,16615, ,1290,61,2,6480690,1051,8857,7869,24588000,17703205,TW0002330008,5792277999,20128431360,22.34,77.65,100.0,100.0,25920709359,2012-05-18,7869000.0,1051000.0,61000.0,2000.0,8857000.0,-2109244048.0,47695444.0,713000.0,185000.0,200000.0,48423444.0,7707333.0,0.0
5,2012-12-10,30865940,97.9,98.0,96.5,96.5,1.0,-0.004538890035073364,,,,,,,,1745,2,6480690,852,15970,15079, ,486,554,10,6480690,102,8395,8857,21295000,26192877,TW0002330008,5794254876,20126454483,22.35,77.64,100.0,100.0,25920709359,2012-05-18,8857000.0,102000.0,554000.0,10000.0,8395000.0,-2109244048.0,48423444.0,3089000.0,306000.0,0.0,51206444.0,7661460.0,0.0
6,2012-12-11,40668489,97.3,98.3,96.7,98.3,2.0,0.010485197368421012,,,,,,,,1475,3,6480690,2652,14790,15970, ,628,181,25,6480690,779,8968,8395,34267133,25806907,TW0002330008,5782297626,20138411733,22.3,77.69,100.0,100.0,25920709359,2012-05-18,8395000.0,779000.0,181000.0,25000.0,8968000.0,-2109244048.0,51206444.0,2616000.0,0.0,1500000.0,55322444.0,7730255.0,0.0
7,2012-12-12,42272408,98.3,98.5,97.2,98.4,2.0,0.008403361344537891,,,,,,,,751,7,6480690,1758,13776,14790, ,602,121,0,6480690,205,9052,8968,36612000,34280656,TW0002330008,5779121298,20141588061,22.29,77.7,100.0,100.0,25920709359,2012-05-18,8968000.0,205000.0,121000.0,0.0,9052000.0,-2109244048.0,55322444.0,139000.0,74000.0,100000.0,55487444.0,7838501.0,0.0
8,2012-12-13,45585236,98.3,99.4,97.9,99.2,2.0,0.011213047910295704,,,,,,,,3552,3,6480690,1119,16206,13776, ,1383,300,0,6480690,238,8990,9052,33525111,27885668,TW0002330008,5775791855,20144917504,22.28,77.71,100.0,100.0,25920709359,2012-05-18,9052000.0,238000.0,300000.0,0.0,8990000.0,-2109244048.0,55487444.0,1480000.0,614170.0,0.0,56353274.0,7902279.0,0.0
9,2012-12-14,34112762,98.2,98.6,97.5,98.4,2.0,0.0024449877750612175,0.007267888217831999,,,,,,,1007,12,6480927,1544,15657,16206, ,656,292,12,6480927,278,8964,8990,26256654,23222295,TW0002330008,5772973496,20147735863,22.27,77.72,100.0,100.0,25920709359,2012-05-18,8990000.0,278000.0,292000.0,12000.0,8964000.0,-2109007020.0,56353274.0,1726000.0,0.0,0.0,58079274.0,7868991.0,0.0
10,2012-12-17,46715917,96.4,97.7,96.2,97.0,2.0,-0.01282312232851609,-0.006147540983606499,,,,,,,1559,40,6480927,837,16339,15657, ,773,972,1,6480927,206,8197,8964,32261260,40366565,TW0002330008,5782181801,20138527558,22.3,77.69,100.0,100.0,25920709359,2012-05-18,8964000.0,206000.0,972000.0,1000.0,8197000.0,-2109007020.0,58079274.0,720000.0,0.0,800000.0,59599274.0,7970455.0,0.0
11,2012-12-18,35430802,95.0,96.7,95.0,96.7,1.0,-0.01266081274249521,-0.009322815285319093,,,,,,,1126,0,6480927,312,17153,16339, ,659,316,0,6480927,97,7978,8197,25430000,29962837,TW0002330008,5788230638,20132478721,22.33,77.66,100.0,100.0,25920709359,2012-05-18,8197000.0,97000.0,316000.0,0.0,7978000.0,-2109007020.0,59599274.0,756000.0,2029000.0,750000.0,59076274.0,8030589.0,0.0
12,2012-12-19,27889579,96.7,97.3,96.2,97.3,2.0,-0.004297994269340992,-0.0035842293906810908,,,,,,,513,10,6480927,913,16743,17153, ,369,65,0,6480927,147,8060,7978,23719849,20471406,TW0002330008,5779172651,20141536708,22.29,77.7,100.0,100.0,25920709359,2012-05-18,7978000.0,147000.0,65000.0,0.0,8060000.0,-2109007020.0,59076274.0,161000.0,0.0,168000.0,59405274.0,8069160.0,0.0
13,2012-12-20,35517115,96.1,96.9,95.1,96.0,1.0,-0.01112484548825709,-0.016292652935751648,,,,,,,1765,0,6480927,1693,16815,16743, ,1017,367,1,6480927,95,7787,8060,23171000,25690480,TW0002330008,5780991572,20139717787,22.3,77.69,100.0,100.0,25920709359,2012-05-18,8060000.0,95000.0,367000.0,1000.0,7787000.0,-2109007020.0,59405274.0,14000.0,51000.0,0.0,59368274.0,8039394.0,0.0
14,2012-12-21,34754207,95.1,96.5,94.6,94.8,1.0,-0.016189290161892925,-0.02529302899444781,,,38.34586466165412,,,,1233,11,6480927,974,17063,16815, ,1163,429,1,6480927,103,7460,7787,21015000,27063927,TW0002330008,5787999499,20132709860,22.32,77.67,100.0,100.0,25920709359,2012-05-18,7787000.0,103000.0,429000.0,1000.0,7460000.0,-2109007020.0,59368274.0,158000.0,1000000.0,0.0,58526274.0,8014848.0,0.0
15,2012-12-22,8384951,95.7,96.2,95.0,95.7,1.0,-0.004162330905306884,-0.015229471084585201,,,42.533692722371974,,,,405,0,6480927,1089,16379,17063, ,172,47,1,6480927,141,7553,7460,2358000,929994,TW0002330008,5786847499,20133861860,22.32,77.67,100.0,100.0,25920709359,2012-05-18,,,,,,,,,,,,,
16,2012-12-24,17215850,96.0,96.4,95.1,95.2,1.0,-0.006263048016701403,-0.017239599463198117,,,40.872683801554096,,,,520,0,6480927,384,16515,16379, ,355,106,0,6480927,38,7485,7553,11930000,8088309,TW0002330008,5788906808,20131802551,22.33,77.66,100.0,100.0,25920709359,2012-05-18,7553000.0,38000.0,106000.0,0.0,7485000.0,-2109007020.0,58560274.0,64000.0,4620000.0,0.0,54004274.0,7707398.0,0.0
17,2012-12-25,16006069,96.0,97.3,95.6,96.5,1.0,0.00899205353408615,-0.001861812163839541,,,46.70067171953015,,,,640,2,6480927,1441,15712,16515, ,112,167,1,6480927,178,7495,7485,10802000,2687000,TW0002330008,5781755808,20138953551,22.3,77.69,100.0,100.0,25920709359,2012-05-18,7485000.0,178000.0,167000.0,1000.0,7495000.0,-2109007020.0,54004274.0,176000.0,0.0,300000.0,54480274.0,7606781.0,0.0
18,2012-12-26,12055449,96.5,97.3,96.0,96.0,1.0,0.0037641154328732686,-0.0037359900373598945,,,44.86883562993593,,,,391,15,6480927,1129,14959,15712, ,180,82,0,6480927,73,7486,7495,8348000,3139000,TW0002330008,5778974808,20141734551,22.29,77.7,100.0,100.0,25920709359,2012-05-18,7495000.0,73000.0,82000.0,0.0,7486000.0,-2109007020.0,54480274.0,66000.0,2202000.0,0.0,52344274.0,7519842.0,0.0
19,2012-12-27,24204700,96.2,96.7,95.5,95.6,1.0,-0.00208768267223385,-0.004995836802664635,-0.013263147029984112,,43.402109620029535,,,,894,9,6480927,186,15658,14959, ,655,133,0,6480927,41,7394,7486,17866012,14279346,TW0002330008,5775580154,20145129205,22.28,77.71,100.0,100.0,25920709359,2012-05-18,7486000.0,41000.0,133000.0,0.0,7394000.0,-2109007020.0,52344274.0,2000.0,419547.0,0.0,51926727.0,7455854.0,0.0
20,2012-12-28,25705388,96.8,97.0,95.9,97.0,1.0,0.009785550697480718,0.009575353871773391,0.001652209830648457,,49.610728501753556,,,,687,22,6480927,1121,15202,15658, ,290,228,3,6480927,171,7334,7394,19748000,11972517,TW0002330008,5767301671,20153407688,22.24,77.75,100.0,100.0,25920709359,2012-05-18,7394000.0,171000.0,228000.0,3000.0,7334000.0,-2109007020.0,51926727.0,10000.0,1600000.0,100000.0,50436727.0,7467166.0,0.0
21,2013-01-02,40647121,97.6,99.9,97.1,99.6,0.0,0.027439653393851682,0.03351665456054778,0.02690999072069285,,58.6767924467544,,,,2883,0,6480927,2862,15223,15202, ,1691,102,0,6480927,701,7933,7334,25530489,10422316,TW0002330008,5750905977,20169803382,22.18,77.81,100.0,100.0,25920709359,2012-05-18,7334000.0,701000.0,102000.0,0.0,7933000.0,-2109007020.0,50436727.0,508000.0,12000.0,494000.0,51426727.0,7594981.0,0.0
22,2013-01-03,44335846,100.5,102.0,100.0,101.0,0.0,0.032297628781684344,0.04403555923092816,0.03914810432635431,,62.58083189652803,,,,1141,1,6480927,2291,14072,15223, ,812,257,0,6480927,394,8070,7933,34741100,20442912,TW0002330008,5735950789,20184758570,22.12,77.87,100.0,100.0,25920709359,2012-05-18,7933000.0,394000.0,257000.0,0.0,8070000.0,-2109007020.0,51426727.0,156000.0,2200000.0,0.0,49382727.0,7688803.0,0.0
23,2013-01-04,39502577,100.5,101.5,100.0,101.5,2.0,0.02587426723266614,0.04327268989618659,0.04166666666666669,,63.89285060506048,,,,367,1,6480927,1227,13211,14072, ,367,128,1,6480927,137,8078,8070,34725806,25683195,TW0002330008,5726636178,20194073181,22.09,77.9,100.0,100.0,25920709359,2012-05-18,8070000.0,137000.0,128000.0,1000.0,8078000.0,-2109007020.0,49382727.0,72000.0,0.0,0.0,49454727.0,7813498.0,0.0
24,2013-01-07,42328657,101.0,101.0,99.1,100.5,0.0,0.00580464371497196,0.026977314530962457,0.030135301353013507,,59.406487181546254,,,,658,0,6480927,852,13017,13211, ,624,325,0,6480927,241,7994,8078,27687000,29198300,TW0002330008,5726645478,20194063881,22.09,77.9,100.0,100.0,25920709359,2012-05-18,8078000.0,241000.0,325000.0,0.0,7994000.0,-2109007020.0,49454727.0,328000.0,0.0,0.0,49782727.0,7667010.0,0.0
25,2013-01-08,31218717,99.6,100.0,98.9,99.7,0.0,-0.007565200079633736,0.014654996946875465,0.02026197298403606,,56.017715933036584,,,,1356,0,6480927,772,13601,13017, ,435,375,2,6480927,129,7746,7994,17586200,16551374,TW0002330008,5725104652,20195604707,22.08,77.91,100.0,100.0,25920709359,2012-05-18,7994000.0,129000.0,375000.0,2000.0,7746000.0,-2109007020.0,49782727.0,1000.0,2700000.0,0.0,47083727.0,7608328.0,0.0
26,2013-01-09,26417262,100.5,100.5,99.2,100.0,1.0,-0.00537099661826145,0.012760785902369768,0.022442615408210142,,57.00811633126243,,,,600,0,6480927,587,13614,13601, ,330,35,5,6480927,233,7939,7746,17511023,11221316,TW0002330008,5720385945,20200323414,22.06,77.93,100.0,100.0,25920709359,2012-05-18,7746000.0,233000.0,35000.0,5000.0,7939000.0,-2109007020.0,47083727.0,1000.0,1041000.0,0.0,46043727.0,7444940.0,0.0
27,2013-01-10,41234333,99.9,101.0,99.5,101.0,1.0,0.004575293415555935,0.018247807238632806,0.03129626793281256,,60.223433010282456,,,,1174,1,6480927,750,14037,13614, ,465,79,0,6480927,142,8002,7939,31880000,28178853,TW0002330008,5717467798,20203241561,22.05,77.94,100.0,100.0,25920709359,2012-05-18,7939000.0,142000.0,79000.0,0.0,8002000.0,-2109007020.0,46043727.0,530000.0,3000000.0,0.0,43573727.0,7298430.0,0.0
28,2013-01-11,22993851,101.5,101.5,100.5,101.0,1.0,0.005575467941059219,0.013140736282475553,0.03034940066309609,,60.22343301028245,,,,312,12,6480927,620,13717,14037, ,176,78,0,6480927,202,8126,8002,19195186,11318515,TW0002330008,5709272127,20211437232,22.02,77.97,100.0,100.0,25920709359,2012-05-18,8002000.0,202000.0,78000.0,0.0,8126000.0,-2109007020.0,43573727.0,164000.0,0.0,0.0,43737727.0,7074947.0,0.0
