,date,volume,open,high,low,close,label,MA-5,MA-10,MA-20,MA-60,RSI-14,MACD,MACD_signal,MACD_hist,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,buy,sell,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,MarginShortSalesPreviousDayBalance,MarginShortSalesShortSales,MarginShortSalesShortCovering,MarginShortSalesStockRedemption,MarginShortSalesCurrentDayBalance,MarginShortSalesQuota,SBLShortSalesPreviousDayBalance,SBLShortSalesShortSales,SBLShortSalesReturns,SBLShortSalesAdjustments,SBLShortSalesCurrentDayBalance,SBLShortSalesQuota,SBLShortSalesShortCovering
0,2012-12-03,34100297,11.2,11.25,11.1,11.15,1.0,,,,,,,,,2961,0,6480690,1241,15254,13534, ,953,381,0,6480690,172,8392,8601,31448286,34596279,TW0002330008,5781930874,20138778485,22.3,77.69,100.0,100.0,25920709359,2012-05-18,8601000.0,172000.0,381000.0,0.0,8392000.0,-2109244048.0,36615444.0,782000.0,0.0,320000.0,37717444.0,7573226.0,0.0
1,2012-12-04,52658712,11.05,11.1,10.95,11.1,1.0,,,,,,,,,3382,2,6480690,2022,16612,15254, ,1185,828,1,6480690,216,7779,8392,21721076,35601982,TW0002330008,5797412780,20123296579,22.36,77.63,100.0,100.0,25920709359,2012-05-18,8392000.0,216000.0,828000.0,1000.0,7779000.0,-2109244048.0,37717444.0,856000.0,0.0,500000.0,39073444.0,7752443.0,0.0
2,2012-12-05,124871852,11.1,11.75,11.0,11.6,1.0,,,,,,,,,2392,0,6480690,2352,16652,16612, ,4235,347,2,6480690,432,7862,7779,38537440,42388475,TW0002330008,5801543815,20119165544,22.38,77.61,100.0,100.0,25920709359,2012-05-18,7779000.0,432000.0,347000.0,2000.0,7862000.0,-2109244048.0,39073444.0,4613000.0,702000.0,2500000.0,45484444.0,7954673.0,0.0
3,2012-12-06,116109982,11.75,11.8,11.55,11.7,2.0,,,,,,,,,1526,53,6480690,1510,16615,16652, ,710,123,2,6480690,132,7869,7862,27568089,25196068,TW0002330008,5800491794,20120217565,22.37,77.62,100.0,100.0,25920709359,2012-05-18,7862000.0,132000.0,123000.0,2000.0,7869000.0,-2109244048.0,45484444.0,1638000.0,27000.0,600000.0,47695444.0,7915223.0,0.0
4,2012-12-07,94978100,11.8,11.95,11.6,11.65,2.0,0.018356643356643432,,,,,,,,1560,16,6480690,3080,15079,16615, ,1290,61,2,6480690,1051,8857,7869,24588000,17703205,TW0002330008,5792277999,20128431360,22.34,77.65,100.0,100.0,25920709359,2012-05-18,7869000.0,1051000.0,61000.0,2000.0,8857000.0,-2109244048.0,47695444.0,713000.0,185000.0,200000.0,48423444.0,7707333.0,0.0
5,2012-12-10,39677444,11.7,11.7,11.45,11.45,1.0,-0.004347826086956583,,,,,,,,1745,2,6480690,852,15970,15079, ,486,554,10,6480690,102,8395,8857,21295000,26192877,TW0002330008,5794254876,20126454483,22.35,77.64,100.0,100.0,25920709359,2012-05-18,8857000.0,102000.0,554000.0,10000.0,8395000.0,-2109244048.0,48423444.0,3089000.0,306000.0,0.0,51206444.0,7661460.0,0.0
6,2012-12-11,40680873,11.45,11.55,11.35,11.4,1.0,-0.01384083044982685,,,,,,,,1475,3,6480690,2652,14790,15970, ,628,181,25,6480690,779,8968,8395,34267133,25806907,TW0002330008,5782297626,20138411733,22.3,77.69,100.0,100.0,25920709359,2012-05-18,8395000.0,779000.0,181000.0,25000.0,8968000.0,-2109244048.0,51206444.0,2616000.0,0.0,1500000.0,55322444.0,7730255.0,0.0
7,2012-12-12,37778109,11.6,11.6,11.45,11.55,1.0,0.0,,,,,,,,751,7,6480690,1758,13776,14790, ,602,121,0,6480690,205,9052,8968,36612000,34280656,TW0002330008,5779121298,20141588061,22.29,77.7,100.0,100.0,25920709359,2012-05-18,8968000.0,205000.0,121000.0,0.0,9052000.0,-2109244048.0,55322444.0,139000.0,74000.0,100000.0,55487444.0,7838501.0,0.0
8,2012-12-13,115715894,11.6,12.0,11.55,12.0,2.0,0.03359173126614992,,,,,,,,3552,3,6480690,1119,16206,13776, ,1383,300,0,6480690,238,8990,9052,33525111,27885668,TW0002330008,5775791855,20144917504,22.28,77.71,100.0,100.0,25920709359,2012-05-18,9052000.0,238000.0,300000.0,0.0,8990000.0,-2109244048.0,55487444.0,1480000.0,614170.0,0.0,56353274.0,7902279.0,0.0
9,2012-12-14,70781494,11.85,11.85,11.65,11.7,1.0,0.0068846815834767705,0.014744145706851687,,,,,,,1007,12,6480927,1544,15657,16206, ,656,292,12,6480927,278,8964,8990,26256654,23222295,TW0002330008,5772973496,20147735863,22.27,77.72,100.0,100.0,25920709359,2012-05-18,8990000.0,278000.0,292000.0,12000.0,8964000.0,-2109007020.0,56353274.0,1726000.0,0.0,0.0,58079274.0,7868991.0,0.0
